title,job_type,city,code,hc,max_salary,min_salary
云游戏网络开发工程师,基础架构,杭州,N8029,3,40,25
高级研发工程师 - 效能体系 - 交付方向,基础架构,北京,T2251,5,60,30
云游戏网络平台开发工程师,基础架构,杭州,I0630,3,40,25
云游戏网络开发工程师,基础架构,上海,S7894,3,40,25
云游戏网络开发工程师,基础架构,深圳,V6328,3,40,25
云游戏网络平台开发工程师,基础架构,深圳,N6227,3,40,25
KV 存储引擎工程师/架构师,基础架构,上海,Z1074,5,50,25
云原生基础平台架构师,基础架构,上海,Z1883,2,60,30
系统级场景化验证工程师/架构师,基础架构,杭州,33CL,5,65,25
云原生基础平台架构师,基础架构,杭州,G4885,2,60,30
虚拟网络控制面研发工程师,基础架构,上海,M4253,5,50,30
网络系统研发工程师,基础架构,北京,K5429,2,40,25
客户端（高级）开发工程师 - 质量与体验方向,基础架构,深圳,J0806,5,60,30
交换机软件工程师,基础架构,杭州,E5760,2,40,25
DTS研发工程师,基础架构,深圳,J49SL,5,60,30
高级研发工程师 - 代码中台 - 研发平台方向,基础架构,杭州,8VAL,5,60,30
经营分析-数据方向,基础架构,北京,C2562,5,50,20
存储系统研发工程师（文件系统方向）,基础架构,上海,E7224,5,50,25
交换机软件工程师,基础架构,深圳,Y7364,2,40,25
云原生微服务架构师,基础架构,杭州,L8993,2,80,40
网络系统研发工程师,基础架构,上海,T2915,2,40,25
后端设计工程师,基础架构,上海,J4YUV,8,40,20
混合云存储&数据库交付开发工程师,基础架构,杭州,W6856,2,50,30
网络虚拟化资深研发工程师,基础架构,杭州,JBYLL,3,40,25
计算引擎研发工程师/架构师-基础架构,基础架构,杭州,9KPV,5,60,30
虚拟化研发负责人,基础架构,上海,T2103,3,80,40
程序语言工程师-LLVM方向,基础架构,上海,KYSL,3,60,30
Spark开发工程师/架构师,基础架构,杭州,J9RAL,3,60,30
云原生微服务架构师,基础架构,上海,G4067,2,80,40
存储中间件研发高级工程师,基础架构,北京,C5736,5,50,35
虚拟化研发负责人,基础架构,深圳,S0247,3,80,40
